ID	Tweet	anger	disgust	fear	joy	sadness	surprise
2018-En-00315	you: oh boy! time to talk about a new game\ngod: you can't compare it to dark souls\nyou: trembling, sweating, about to scream	0	0	1	0	0	0
2018-En-02635	@CommsRuss @LuHeron Sooooo needed to be on that call! #adorable #needyaunty #pupster	0	0	0	1	0	0
2018-En-02466	@DavidJo52951945 No one is above the law, if there is suspicion that a soldier did something wrong, why shouldn't they be held accountable?	1	0	0	0	0	0
2018-En-00901	Feeling all Tuesday blah until @sarahmakesart sent over a bunch of hilarious memes. #spreadthelove 	0	0	0	1	0	0
2018-En-03284	Watching @JamesAcaster clips in bed. Actual legend. Never fails to put me in a good mood. #comedy #legend #love #laughter #bedtime x	0	0	0	1	0	0
2018-En-00394	I CANT EVEN BREATHE IMM STILL ROLLIN UP THAT CHRONIC 😤	0	0	0	0	1	0
2018-En-02538	@Riverford had my first #vegbox last week. Chard and Rosemary Gratin is  #yum	0	0	0	1	0	0
2018-En-01882	Kidnapping and hostage-taking threats are on the rise. #civics #war 	0	0	1	0	0	0
2018-En-00662	Your most unhappy customers are your greatest source of learning Bill Gates, Microsoft co-founder #startup #entrepreneurship #delicious	0	0	0	1	0	0
2018-En-01337	@iBTSJACK @iridiscxnt No he's kind and cheerful hoho!	0	0	0	1	0	0
2018-En-02181	@stevenmnuchin1 Does your wife look #adorable at 6:00 a.m.?  #AdorableWife  #AdorableWedding  #AdorableHoneymoon #AdorableJet  #AdorableJob	0	0	0	1	0	0
2018-En-01559	@Adnan__786__ @AsYouNotWish Dont worry Indian army is on its ways to dispatch all Terrorists to Hell	1	0	0	0	0	0
2018-En-03417	I hope everyone has a safe and fantastic day!!! 😊	0	0	0	1	0	0
2018-En-01318	Trying not to be annoyed but I keep getting told I'm on lists for things and then everyone's on the list except for me 😞	0	0	0	0	1	0
2018-En-01247	The use of violence, threat of violence and intimidation just tag zany pf. Very good at it.	1	0	0	0	0	0
2018-En-03739	Academy of Sciences, eschews the normally sober tone of scientific papers and calls the massive loss of wildlife a “biological annihilation	0	1	0	0	0	0
2018-En-01978	@imaster78 @ll_DannyM7_ll @TOMGORIANXVII @STSF1_Racing I didn't say it because you left the party and game in a huff	0	0	0	0	1	0
2018-En-04239	'The prayer of the feeblest saint is a terror to Satan.'\n(Oswald Chambers)	0	0	1	0	0	0
2018-En-02528	Laughter is an instant vacation\nTake a vacation now\n#vacation #laughter #happy #AlenaNaron #LifeCoach #Positvity	0	0	0	1	0	0
2018-En-00179	@mjrgxx This pain is restless even if my eyes are closed. I wish I never had won the race as a sperm.	0	0	0	0	1	0
2018-En-03369	Too many of us are not living our #dreams because we are living our #fears.	0	0	1	0	0	0
2018-En-01352	Do you ever fall asleep before you set your alarm, but then the Lord wakes you up on time anyways 🙌🏻 #WontHeDoIt	0	0	0	1	0	0
2018-En-04378	Have funny feeling this #mayweather #McGregor will become a trilogy. Why make 550 million? When you can make it 3x hmmm #suspicion ? 💵💰	0	0	0	1	0	0
2018-En-01455	@SOUNDK2022 always panic before the presentation.. &gt;.&lt;'	0	0	1	0	0	0
2018-En-00692	@gmfb Ray Lewis in the middle of the raven defense again !! Oh lord !! #fear	0	0	1	0	0	0
2018-En-04354	And yet again, @MarliePacker sets the back row bar high... Tackling and support play outstanding. Congrats on your 50th cap! #inspiring	0	0	0	1	0	0
2018-En-02995	@LeahRemini These stories are so #heartbreaking #ScientologyTheAftermath Please continue to bring #truth to the surface. Ur helping humanity	0	0	0	0	1	0
2018-En-04337	Here in South Bend, IN, Quad Cities River Bandits leading the SB Cubs 3-0. Organist v fond of   'Master of the House' from 'Les Miz.' #sadly	0	0	0	0	1	0
2018-En-03123	I make nebulizer look sexy #DarthVader #breathless #sexy #nebulizer #girl	0	0	0	1	0	0
2018-En-01718	2nd time this week I received services for free. It pays to be nice! #kindness #friendliness #bekind #smile	0	0	0	1	0	0
2018-En-04176	#worry leads to tension and pressure #prayer leads to peace	0	0	1	0	0	0
2018-En-03562	It's #AmazonPrimeDay! And I'm #broke. So in reality it just another day for me #depressing	0	0	0	0	1	0
2018-En-01646	I felt the microphone, and haunt.	0	0	1	0	0	0
2018-En-01773	@JhaSanjay Good you are reminded - that's first step... \n\n2nd step, pls start practicing and spare us the horror of your tweets 😂	0	1	0	0	0	0
2018-En-03992	@TransMediaWatch This isn't about the UK government, sadly: reading what I can of the article, it's coverage of the Irish law review.	0	0	0	0	1	0
2018-En-04335	@carelcj_ homyghad 😢	0	0	0	0	1	0
2018-En-02792	distract yourself from the fiery hellscape that is 2017 America with a free small cup of frozen sugar water #FreeSlurpeeDay	0	0	0	1	0	0
2018-En-01698	How to get rich quick: Step 43. Get a suit fitted and panic.	0	0	1	0	0	0
2018-En-00276	we mourn the death of our hopes today #james	0	0	0	0	1	0
2018-En-03582	Don't be afraid of your fears. Their purpose is not to frighten you, but enlighten you and lead you into a better future. #dailycraig #fear	0	0	1	0	0	0
2018-En-00223	'You have an amazing problem here' - @sbxr has spotted a huge privacy issue for TracTAG 😱 #SharkTankAU	0	1	0	0	0	0
2018-En-02312	@AdamZHerman shocked as well. but bc I cheer for another club in the swiss league…	0	0	0	0	0	1
2018-En-04200	@PierreAtlas Let's see how many Republicans do more than feign outrage.	1	0	0	0	0	0
2018-En-01104	@DrewPap85 Never seen a frown in 4 years coaching. Again you have no basis for opinion.	0	1	0	0	0	0
2018-En-02947	But then again a smile is always a good 'frosting on the cake' for personal grudges	0	0	0	1	0	0
2018-En-04024	although I laugh and I act like a clown beneath this mask I am wearing a frown my tears are falling like rain from the sky	0	0	0	0	1	0
2018-En-00550	First class of the day &amp; I have the hottest professor #god #is #good	0	0	0	1	0	0
2018-En-00260	@tenderlove listened to your CUSEC 2015 talk again for inspiration in writing my own conference talk #tornado of #laughs	0	0	0	1	0	0
2018-En-03170	@angrydwarf9 @carolinesandall It ruins my frigging night each night at 9pm. Mrs loves it, i've been early to bed for a month. 	1	0	0	0	0	0
2018-En-03991	@ChickfilA has forever changed my life 😍 #blessed	0	0	0	1	0	0
2018-En-00587	'If I allow my worry to consume me - all that I worry about will be given the opportunity to manifest.' ~ #Eleesha ღ #quote #worry #trust	0	0	0	0	1	0
2018-En-03516	Sometimes in #life ....\nSee the #statement itself #sounds so #temporary\nNothing is permanent isn't it?\nSo #never #worry let it go &amp; #moveon	0	0	1	0	0	0
2018-En-00917	I should wear black &amp; mourn a lil'.	0	0	0	0	1	0
2018-En-02885	We get #upset when we are #overlooked for doing things for others, even small things. Imagine how #Jesus feels when he died for our sins.	0	0	0	0	1	0
2018-En-01165	I ain't had a gold heart on snap chat in so long. 😐 #depressing	0	0	0	0	1	0
2018-En-03074	@dwarsrivier_SA Welcome to the industry fellow #guides! Expect a future of #excitement, #hairraising tales and just allround #fun! :D	0	0	0	1	0	0
2018-En-02490	'Stay close to people who feel like sunshine.' This may just be the great secret to a more #joyful life. #WednesdayWisdom	0	0	0	1	0	0
2018-En-01693	Any #GOP senator who refuses to #RepealAndReplace needs to bear the #wrath of their constituents @ polls home state!  #healthcare #price2pay	1	0	0	0	0	0
2018-En-03533	@ArcadeGirl64 I actually really like hearing your thoughts either way, don't hesitate to share :)	0	0	0	1	0	0
2018-En-01153	I love when gg cheering up eo. Apink rv mamamoo jjang!!!!	0	0	0	1	0	0
2018-En-03214	Don't grieve over things so badly..	0	0	0	0	1	0
2018-En-02130	ain't no sunshine when she's away ♫ 	0	0	0	0	1	0
2018-En-02330	@BDSixsmith @J_Bloodworth This is very complex. So, I can't share images I've taken because that would spread intimidation but	0	0	1	0	0	0
2018-En-03000	i'm actually trying to find excuses to go out after interaction day on friday but i'm afraid that my mom will scold me even more lol	0	0	1	0	0	0
2018-En-02768	I'm still feeling some type of way about Viserion. #GameOfThrones #crying #stresseating	0	0	0	0	1	0
2018-En-01503	Important read on the difference between #pleasure and #happiness and the relationship between #digitaltechnology #addiction &amp; #depression	0	0	0	1	0	0
2018-En-00762	@ElfinKate @CulturalWatch @aldaily @BullDeborah @SelinaNThompson @CSSDLondon @CSSDLondon Tedx 1st Sept #scared!	0	0	1	0	0	0
2018-En-04079	@shuchikalra @lMonicaSpringsl Don't scare me I'm already scared	0	0	1	0	0	0
2018-En-00808	@davidallengreen The difference of being a third country in negotiations, as opposed to a member state, hasn't sunk in yet	1	0	0	0	0	0
2018-En-03209	Potentially going on holiday in 7 days.. can you get fit in that time? #panic 🤔	0	0	1	0	0	0
2018-En-01374	It's my #party #Hashtag10 and I'll #cry if I want to ...... Not really! #Hashtag10 celebrations and I shall #rejoice! I love quirky ones!	0	0	0	1	0	0
2018-En-00181	PUPPY FOR ADOPTIONS !!! Happy pics!! Please SHARE for exposure! Put out the word to good adopter prospects!...	0	0	0	1	0	0
2018-En-02225	Some people just need to learn how to #smile 😁 and #laugh 😂😂 #live #life	0	0	0	1	0	0
2018-En-01012	@itsjordansroom Good Morning to you as well Miss Jordan!! Have a cheerful day!	0	0	0	1	0	0
2018-En-03638	Love it when @JenniferHorn is laughing as hard at @brianwhitman's rif as I am! 😂 #crying 🤣🤣 #chateaubriand @MorningAnswerLA	0	0	0	1	0	0
2018-En-00351	Working at my kitchen table, with the 3D whirring next to me. Me working on some Facebook-stuff, the printer on a stimpack.  #bliss	0	0	0	1	0	0
2018-En-03403	@namivague huhu kak help me through all of this 	0	0	0	0	1	0
2018-En-03234	You got me w that one @AmazonPrime ! New #theTICK trailer is #hilarity	0	0	0	1	0	0
2018-En-01376	@AC360 omg.  Who is this nan Hayworth person and where did she come from? Send her back!#sad #bad	0	0	0	0	1	0
2018-En-00824	Nole, you just can't go easy on a girl's heart can you? #Wimbledon 	0	1	0	0	0	0
2018-En-01457	@nytimes @pattonoswalt I am so happy that you were able to expands your heart and find happiness again, congratulations! ❤️	0	0	0	1	0	0
2018-En-01783	@071304Nathan Happy #blissful birthday	0	0	0	1	0	0
2018-En-03541	Johnny doesn't seem like the suicidal type #suspicion #tcmparty	0	0	0	0	1	0
2018-En-01579	flatmates provocating pine pollen man	1	0	0	0	0	0
2018-En-00372	@Caprica Ah that's a neat idea, will check that out - might makes me more depressed about my slowness tho 🤣	0	0	0	0	1	0
2018-En-03555	“When the people fear the government there is tyranny, when the government fears the people there is liberty.”―Thomas Jefferson	0	0	1	0	0	0
2018-En-00903	we all think about it, some more than others \n\n#death #sad #depressed #suicide	0	0	0	0	1	0
2018-En-03356	@markaw214 @appleofeden_3 @jjasq @XxPLWxX Ring a ring of roses isto do with the plague, Im sure that will offend someone	1	0	0	0	0	0
2018-En-03590	@SamKrueger_ @DarrenBall_ @UFCEurope @ssearena I can't even find tickets anymore gunna call it a day and go cry in the corner I think 😭 lol	0	0	0	0	1	0
2018-En-01141	@thetrudz #PrimeDay , free slurpee day at 7-11's,  national chicken day, i got some multitasking to do and squeeze in my dr. Appt 😧	0	0	0	1	0	0
2018-En-00954	Saddest part about messing up both my legs/ankles? I miss heels. Being a 7fg giant was fun. #sadness	0	0	0	0	1	0
2018-En-03540	So good to see @richie_porte smiling and feeling positive from his hospital bed on #sbstdf tonight. Get well soon!!	0	0	0	1	0	0
2018-En-03534	@danabente Well, thank you. Sincerely 😊	0	0	0	1	0	0
2018-En-00670	My only concern for my Dio claws	0	0	1	0	0	0
2018-En-02263	I've developed a new philosophy... I only #dread one day at a time.	0	0	1	0	0	0
2018-En-02892	Happy birthday @ShanteriaI!! i miss you tons + i'm so excited to be back in florida to hear all about Turkey + to have our 🌮dates!! 💛🎉	0	0	0	1	0	0
2018-En-02972	@idktaehyng the possibilities terrify me	0	0	1	0	0	0
2018-En-00913	@mythos1014 I think I will tomorrow. I ain't ready for all those feels though. 😥	0	0	0	0	1	0
2018-En-02690	Are you #different?! Don't be #afraid, just keep #calm and be what you are :)	0	0	1	0	0	0
2018-En-01462	So Dorje Shugden has been sent a leaf to be torn. Rothschild is struck by Indra wrath lightning and also Iron Fist. 10 bloodlines 2b removed	0	1	0	0	0	0
2018-En-00406	Hey The Success Novel thanks for the follow! (UN)FOLLOW=(UN)FOLLOW Please visit my #twitter handle #quoteboxindia for #awesome #picture #qu…	0	0	0	1	0	0
2018-En-00899	I'm #afraid he might kill me if I'm not good!	0	0	1	0	0	0
2018-En-03317	I never dread.... I'm dreading😣😲👎	0	0	1	0	0	0
2018-En-04064	The times when you need someone to lean on but sadly they are only there if they need you	0	0	0	0	1	0
2018-En-01450	@skillz_company Not much room in there 😱	0	0	0	0	1	0
2018-En-03579	I've struggled to figure out how lightning works, but then it struck me.        #laughing #lol	0	0	0	1	0	0
2018-En-01235	@empireofthekop Are we sponsored by #Tango now ? #whopicksthesecolours #youvebeentangoed  #kak	0	1	0	0	0	0
2018-En-00726	@EXOGlobal I can't wait , I'm shaking	0	0	1	0	0	0
2018-En-01010	@tabby313 Jen, awful funny how the tide has turned on this show! I am elated and amused! Goes from love fest to oh we have collusion!	0	0	0	1	0	0
2018-En-01444	'The happiest moments in life are not actually spent laughing or smiling the whole time with so many people around.'\n#JonaxxBBTWKab39	0	0	0	1	0	0
2018-En-02673	who knew magnus bane with teary eyes and trembling lips would be my downfall	0	0	0	0	1	0
2018-En-00571	You are responsible for your own happiness. If you expect others to make you happy, you will always be disappointed.	0	0	0	1	0	0
2018-En-02228	@Number10gov @dwppressoffice #heaviness; That they may be called #trees of #righteousness, The #planting of the #Lord, that He may be [6/7]	0	0	0	0	1	0
2018-En-03347	i feel like i'm downcast 😶	0	0	0	0	1	0
2018-En-04336	@20committee John, what do you make of DJT's silence? He would usually be foaming at the mouth right now. Maybe he's constipated.	1	0	0	0	0	0
2018-En-02831	@PrisUY Good point if let's say the Argentinian police would do 1/100 what they are doing we would see a lot of outrage by certain people.	0	1	0	0	0	0
2018-En-03894	If the teaser trailer 4 @ITMovieOfficial cud stop appearing after /every/ other advert that'd be great #ITMovie  #phobia #scaredmuch #clown	0	0	1	0	0	0
2018-En-00056	I love to start a writing session with 'Moon River' from the BREAKFAST AT TIFFANY'S soundtrack performed by Audrey Hepburn #amwriting #bliss	0	0	0	1	0	0
2018-En-01768	@derickson178 Did it scare you?!	0	0	1	0	0	0
2018-En-00221	Life is a #blessing	0	0	0	1	0	0
2018-En-00516	With James gone, no player would be throwing tantrums when subbed anymore.	0	0	0	0	1	0
2018-En-00647	Comparing yourself to others is one of the root causes for feelings of unhappiness and depression.	0	0	0	0	1	0
2018-En-01288	Game of Thrones was like The Revenant on high 🤔😂🐻🐉 #zombiebear #GameOfThrones #GOT #whitewalkers #terrifying #TheRevenant	0	0	1	0	0	0
2018-En-02510	Defendant greets the bench with a cheery 'hello!'. He is late arriving at court because he was collecting his methadone script. #SwansMags	0	0	0	1	0	0
2018-En-00128	A #lockdown of a #building is intended to #secure and #protect #Occupants who are in the proximity of an immediate #threat.	0	0	1	0	0	0
2018-En-04022	The point of maximum danger is the point of minimum fear.	0	0	1	0	0	0
2018-En-00371	Daughter, her husband and kids caught a boatload of red snapper &amp; mackerel off Port Aransas... we enjoyed the #fish feast #delicious	0	0	0	1	0	0
2018-En-02045	@Ellpeck I fear that you could die by your self, that scares me. My own death not which could be any time in my age.	0	0	1	0	0	0
2018-En-03164	Sad to hear interviews w/ Trump voters, now terrified abt losing healthcare\n\n#npr #cnn #HuffPostPol #nyt #WaPo #AP_Politics #BBCnews #msnbc	0	0	0	0	1	0
2018-En-00446	omg they said kyungsoo looked gloomy and his instant smile after that i'm melting	0	0	0	1	0	0
2018-En-01441	@jaden_lindner If I acquire a deadly scowl like that I'm going to be pretty happy to be old	0	0	0	1	0	0
2018-En-01248	Hello everyone! How are you? Sinong excited na for live shows? Hahaha don't worry we are too 😃😬	0	0	0	1	0	0
2018-En-00888	I'm gunna be on #streamate tommorow. This week was busy. Check out my #snapchat #shower #show on #premium #snap me #webcammodel	0	0	0	1	0	0
2018-En-02400	I think I was more sober when I was drunk.	0	0	0	1	0	0
2018-En-03447	YOU MIGHT BE TRYING TO FILL THE VOID IN YOUR #HEART WITH ALL SORTS OF THINGS BUT THAT PLACE BELONGS TO JESUS CHRIST #music #worry #love #SMM	0	0	0	1	0	0
2018-En-00815	@mhodges813 Looks like you'll be working there until your 20 🤣	0	0	0	0	0	1
2018-En-02203	1. I'm grateful for love.\n2. I'm grateful for miracles.\n3. I'm grateful for music.\n#beatdepression #grateful	0	0	0	1	0	0
2018-En-03385	Cool and dreary in the orchard this morning. If you're a die hard picker and still want to come out please dress accordingly.	0	0	0	1	0	0
2018-En-02338	and I don't want to spread it all over my twitter. It's my choice, but I, at least, needed to say this as I don't want to worry people.	0	0	1	0	0	0
2018-En-00215	it's still kind of weird that this guy was an Atlantic contributor for so long, mostly as a one-man cheering section for Elena Kagan	0	1	0	0	0	0
2018-En-02991	I made a joke &amp; my boyfriend laughed but when I looked over he was actually laughing at a video on his phone #sad #&lt;/3 #hurting #brokenheart	0	0	0	0	1	0
2018-En-02215	@domholland You did brilliant on The Chase. Of course, you were with Tucker flippin' Jenkins so we were cheering like mad, but top job!	0	0	0	1	0	0
2018-En-01622	Great meeting with my great friend and superstar lawyer Bryan Freedman @ftllp .  Such an amazing person who does so much for many. 	0	0	0	1	0	0
2018-En-03621	Duty calls. 😧	1	0	0	0	0	0
